Canada,"[56.130366, -106.346771]"
Solomon Islands,"[-9.64571, 160.156194]"
Viet Nam,"[14.058324, 108.277199]"
Saint Lucia,"[13.909444, -60.978893]"
San Marino,"[43.94236, 12.457777]"
French Polynesia,"[-17.679742, -149.406843]"
France,"[46.227638, 2.213749]"
Syrian Arab Republic,"[34.80207499999999, 38.996815]"
Bermuda,"[32.3078, -64.7505]"
Slovakia,"[48.669026, 19.699024]"
Somalia,"[5.152149, 46.199616]"
Peru,"[-9.189967, -75.015152]"
Vanuatu,"[-15.376706, 166.959158]"
Nauru,"[-0.522778, 166.931503]"
Seychelles,"[-4.679574, 55.491977]"
Norway,"[60.47202399999999, 8.468945999999999]"
Malawi,"[-13.254308, 34.301525]"
Cook Islands,"[-21.236736, -159.777671]"
Benin,"[9.30769, 2.315834]"
"Congo, the Democratic Republic of the","[-4.038333, 21.758664]"
Singapore,"[1.352083, 103.819836]"
"Iran, Islamic Republic of","[32.427908, 53.688046]"
Falkland Islands (Malvinas),"[-51.796253, -59.523613]"
Togo,"[8.619543, 0.824782]"
China,"[35.86166, 104.195397]"
"Micronesia, Federated States of","[6.8874581, 158.2225229]"
Timor-Leste,"[-8.874217, 125.727539]"
Dominican Republic,"[18.735693, -70.162651]"
Ukraine,"[48.379433, 31.16558]"
Ghana,"[7.946527, -1.023194]"
Tonga,"[-21.178986, -175.198242]"
Cayman Islands,"[19.3133, -81.2546]"
Western Sahara,"[24.215527, -12.885834]"
Indonesia,"[-0.789275, 113.921327]"
Central African Republic,"[6.611110999999999, 20.939444]"
Mali,"[17.570692, -3.996166]"
United States,"[37.09024, -95.712891]"
Tajikistan,"[38.861034, 71.276093]"
Sweden,"[60.12816100000001, 18.643501]"
Belarus,"[53.709807, 27.953389]"
Guyana,"[4.860416, -58.93018]"
Kenya,"[-0.023559, 37.906193]"
Cambodia,"[12.565679, 104.990963]"
Bulgaria,"[42.733883, 25.48583]"
Mauritius,"[-20.348404, 57.55215200000001]"
Romania,"[45.943161, 24.96676]"
Angola,"[-11.202692, 17.873887]"
French Southern Territories,"[-49.280366, 69.348557]"
Chad,"[15.454166, 18.732207]"
South Africa,"[-30.559482, 22.937506]"
Tokelau,"[-9.200199999999999, -171.8484]"
Turks and Caicos Islands,"[21.694025, -71.797928]"
South Georgia and the South Sandwich Islands,"[-54.429579, -36.587909]"
Liechtenstein,"[47.166, 9.555373]"
Qatar,"[25.354826, 51.183884]"
"Virgin Islands, U.s.","[18.335765, -64.896335]"
Malaysia,"[4.210484, 101.975766]"
Austria,"[47.516231, 14.550072]"
Mozambique,"[-18.665695, 35.529562]"
Uganda,"[1.373333, 32.290275]"
Japan,"[36.204824, 138.252924]"
Niger,"[17.607789, 8.081666]"
Brazil,"[-14.235004, -51.92528]"
Faroe Islands,"[61.89263500000001, -6.911805999999999]"
Kuwait,"[29.31166, 47.481766]"
Panama,"[8.537981, -80.782127]"
"Korea, Republic of","[35.907757, 127.766922]"
Costa Rica,"[9.748916999999999, -83.753428]"
Luxembourg,"[49.815273, 6.129582999999999]"
Cape Verde,"[15.120142, -23.6051868]"
Andorra,"[42.506285, 1.521801]"
Gibraltar,"[36.140751, -5.353585]"
Ireland,"[53.1423672, -7.692053599999999]"
Palau,"[7.514979999999999, 134.58252]"
Nigeria,"[9.081999, 8.675277]"
Ecuador,"[-1.831239, -78.18340599999999]"
Bangladesh,"[23.684994, 90.356331]"
Australia,"[-25.274398, 133.775136]"
Algeria,"[28.033886, 1.659626]"
El Salvador,"[13.794185, -88.89653]"
Tuvalu,"[-7.4784205, 178.679924]"
Gambia,"[13.443182, -15.310139]"
Rwanda,"[-1.940278, 29.873888]"
Chile,"[-35.675147, -71.542969]"
Puerto Rico,"[18.220833, -66.590149]"
Belgium,"[50.503887, 4.469936]"
Thailand,"[15.870032, 100.992541]"
Haiti,"[18.971187, -72.285215]"
Belize,"[17.189877, -88.49765]"
Hong Kong,"[22.396428, 114.109497]"
Sierra Leone,"[8.460555, -11.779889]"
Georgia,"[32.1656221, -82.9000751]"
Lao People's Democratic Republic,"[19.85627, 102.495496]"
Denmark,"[56.26392, 9.501785]"
Philippines,"[12.879721, 121.774017]"
Namibia,"[-22.95764, 18.49041]"
Moldova,"[47.411631, 28.369885]"
French Guiana,"[3.933889, -53.125782]"
Morocco,"[31.791702, -7.092619999999999]"
Croatia,"[45.1, 15.2]"
Mongolia,"[46.862496, 103.846656]"
Guinea-Bissau,"[11.803749, -15.180413]"
Kiribati,"[1.8709422, -157.3628595]"
Switzerland,"[46.818188, 8.227511999999999]"
Grenada,"[12.1165, -61.67899999999999]"
Iraq,"[33.223191, 43.679291]"
"Tanzania, United Republic of","[-6.369028, 34.888822]"
Portugal,"[39.39987199999999, -8.224454]"
Estonia,"[58.595272, 25.013607]"
Uruguay,"[-32.522779, -55.765835]"
Equatorial Guinea,"[1.650801, 10.267895]"
Lebanon,"[33.854721, 35.862285]"
Svalbard and Jan Mayen,"[77.55360399999999, 23.670272]"
Uzbekistan,"[41.377491, 64.585262]"
Tunisia,"[33.886917, 9.537499]"
Djibouti,"[11.825138, 42.590275]"
Holy See (Vatican City State),"[41.902916, 12.453389]"
Antigua and Barbuda,"[17.060816, -61.796428]"
Dominica,"[15.414999, -61.37097600000001]"
Colombia,"[4.570868, -74.297333]"
Reunion,"[-21.115141, 55.536384]"
Burundi,"[-3.373056, 29.918886]"
Taiwan,"[23.69781, 120.960515]"
Nicaragua,"[12.865416, -85.207229]"
Barbados,"[13.193887, -59.543198]"
Madagascar,"[-18.766947, 46.869107]"
Italy,"[41.87194, 12.56738]"
Bhutan,"[27.514162, 90.433601]"
Sudan,"[12.862807, 30.217636]"
Nepal,"[28.394857, 84.12400799999999]"
Malta,"[35.937496, 14.375416]"
Brunei Darussalam,"[4.535277, 114.727669]"
Maldives,"[1.9772276, 73.536101]"
Northern Mariana Islands,"[15.0979, 145.6739]"
Suriname,"[3.919305, -56.027783]"
Anguilla,"[18.220554, -63.06861499999999]"
Venezuela,"[6.42375, -66.58973]"
Netherlands Antilles,"[12.2018902, -68.26238219999999]"
Israel,"[31.046051, 34.851612]"
Bouvet Island,"[-54.4207915, 3.3464497]"
Iceland,"[64.963051, -19.020835]"
Zambia,"[-13.133897, 27.849332]"
Senegal,"[14.497401, -14.452362]"
Papua New Guinea,"[-6.314992999999999, 143.95555]"
Zimbabwe,"[-19.015438, 29.154857]"
Germany,"[51.165691, 10.451526]"
Martinique,"[14.641528, -61.024174]"
Kazakhstan,"[48.019573, 66.923684]"
Poland,"[51.919438, 19.145136]"
Mauritania,"[21.00789, -10.940835]"
Kyrgyzstan,"[41.20438, 74.766098]"
Mayotte,"[-12.8275, 45.166244]"
British Indian Ocean Territory,"[-7.3346232, 72.4242508]"
"Korea, Democratic People's Republic of","[40.339852, 127.510093]"
New Caledonia,"[-20.904305, 165.618042]"
Macedonia,"[41.608635, 21.745275]"
Trinidad and Tobago,"[10.691803, -61.222503]"
Latvia,"[56.879635, 24.603189]"
Hungary,"[47.162494, 19.503304]"
Guadeloupe,"[16.265, -61.55099999999999]"
Greenland,"[71.706936, -42.604303]"
Honduras,"[15.199999, -86.241905]"
Myanmar,"[21.916221, 95.955974]"
Mexico,"[23.634501, -102.552784]"
Egypt,"[26.820553, 30.802498]"
Cuba,"[21.521757, -77.781167]"
Serbia,"[44.016521, 21.005859]"
Botswana,"[-22.328474, 24.684866]"
United Kingdom,"[55.378051, -3.435973]"
Antarctica,"[-82.86275189999999, 135]"
Congo,"[-4.038333, 21.758664]"
Heard Island and Mcdonald Islands,"[-53.08181, 73.50415799999999]"
Greece,"[39.074208, 21.824312]"
Paraguay,"[-23.442503, -58.443832]"
Fiji,"[-17.713371, 178.065032]"
Comoros,"[-11.6455, 43.3333]"
"Palestinian Territory, Occupied","[31.952162, 35.233154]"
